activity_id,activity_name,ANALYST,SUPERVISOR,DATA_STEWARD,DATA_OWNER,DATA_SCIENTIST,IT_SECURITY,LEGAL
ACT-001,VALIDATE_DATA_QUALITY,I,C,R,A,C,C,I
ACT-002,CORRECT_SOURCE_DATA,I,I,C,R,I,C,I
ACT-003,CHANGE_FRAUD_RULES,C,A,C,C,R,C,I
ACT-004,APPROVE_MODEL_VERSION,I,A,C,C,R,C,I
ACT-005,INVESTIGATE_ALERT,R,A,I,I,C,C,C
ACT-006,CONFIRM_INVESTIGATION_RESULT,R,A,I,I,C,I,C
ACT-007,CLOSE_CASE,C,A,I,I,I,I,C
ACT-008,ACCESS_RESTRICTED_EVIDENCE,R,A,I,A,I,C,C
ACT-009,RESPOND_TO_DATA_QUALITY_INCIDENT,I,A,R,C,C,R,I
ACT-010,REVIEW_BACKTESTING_RESULTS,C,A,C,I,R,C,I
