event_id,case_id,customer_id,event_timestamp,channel,region,new_device,unusual_ip,geolocation_mismatch,failed_mfa_attempts,recent_password_reset,new_beneficiary,amount_spike_ratio,rapid_transaction_count_10m
EV-001,CL-001,CUS-1001,2026-07-01T03:14:00,WEB,Metropolitana,1,1,1,6,1,1,7.5,6
EV-002,CL-001,CUS-1001,2026-07-01T03:18:00,WEB,Metropolitana,1,1,1,3,1,1,4.0,5
EV-003,CL-003,CUS-1002,2026-07-02T14:35:00,ECOMMERCE,Valparaíso,0,1,0,0,0,1,5.5,4
EV-004,CL-005,CUS-1003,2026-07-03T10:10:00,MOBILE,Biobío,0,0,0,0,0,0,1.0,1
EV-005,CL-008,CUS-1004,2026-07-04T22:45:00,ECOMMERCE,Metropolitana,1,1,0,2,0,1,3.2,3
EV-006,CL-010,CUS-1005,2026-07-05T09:40:00,WEB,Antofagasta,1,0,0,0,0,0,1.1,1
EV-007,CL-012,CUS-1006,2026-07-06T01:20:00,MOBILE,Araucanía,1,1,1,5,1,0,1.8,2
EV-008,CL-003,CUS-1007,2026-07-06T18:10:00,WEB,Valparaíso,0,0,0,0,0,0,0.8,1
EV-009,CL-008,CUS-1008,2026-07-07T02:05:00,MOBILE,Metropolitana,1,1,1,4,1,1,6.0,7
EV-010,CL-012,CUS-1009,2026-07-07T11:30:00,WEB,Los Lagos,0,0,0,1,0,0,1.2,1
